,ZIPCODE,FRAC_OPEN
0,00083,0.955327776591
1,10001,0.013149018195
2,10002,0.167678365524
3,10003,0.0330388446702
4,10004,0.151910445922
5,10005,0.00243650545902
6,10006,0.0
7,10007,0.0196562567781
8,10009,0.0428319032472
9,10010,0.0432609425953
10,10011,0.0388025623852
11,10012,0.0105700194453
12,10013,0.0209455632866
13,10014,0.0132571768938
14,10016,0.0155148083331
15,10017,0.0170347632834
16,10018,0.020637791913
17,10019,0.0153843799652
18,10020,0.0
19,10021,0.013625362769
20,10022,0.00522401372569
21,10023,0.335654272057
22,10024,0.386814933669
23,10025,0.15661210009
24,10026,0.122225090607
25,10027,0.112568886377
26,10028,0.0644174970427
27,10029,0.0444811052827
28,10030,0.016691499204
29,10031,0.163267076302
30,10032,0.516938225538
31,10033,0.64848464164
32,10034,0.616014138686
33,10035,0.567071472349
34,10036,0.00673113261477
35,10037,0.143517837463
36,10038,0.00792693967938
37,10039,0.104800104251
38,10040,0.351548339754
39,10041,0.216757438473
40,10043,0.0
41,10044,0.0
42,10045,0.0
43,10047,0.0
44,10048,0.0
45,10055,0.0
46,10065,0.00897280194339
47,10069,0.537643036382
48,10075,0.0297318667371
49,10080,0.0
50,10081,0.0
51,10096,0.0
52,10097,0.0
53,10103,0.0
54,10104,0.0
55,10105,0.0
56,10106,0.0
57,10107,0.0
58,10110,0.0
59,10111,0.0
60,10112,0.0
61,10115,0.0
62,10118,0.0
63,10119,0.0
64,10120,0.0
65,10121,0.0
66,10122,0.0
67,10123,0.0
68,10128,0.0421303501746
69,10151,0.0
70,10152,0.0
71,10153,0.0
72,10154,0.0
73,10155,0.0
74,10158,0.0
75,10162,0.0
76,10165,0.0
77,10166,0.0
78,10167,0.0
79,10168,0.0
80,10169,0.0
81,10170,0.0
82,10171,0.0
83,10172,0.0
84,10173,0.0
85,10174,0.0
86,10175,0.0
87,10176,0.0
88,10177,0.0
89,10178,0.0
90,10196,0.0
91,10203,0.0
92,10259,0.0
93,10260,0.0
94,10265,0.0
95,10270,0.0
96,10271,0.0
97,10275,0.0
98,10278,0.0
99,10279,0.0
100,10280,0.846353406209
101,10281,0.0
102,10282,0.0
103,10285,0.0
104,10286,0.0
105,10301,0.357295282212
106,10302,0.0228482699873
107,10303,0.0539782828022
108,10304,0.279458595736
109,10305,0.503045071525
110,10306,0.553439887959
111,10307,0.224702551102
112,10308,0.438227258139
113,10309,0.273249079955
114,10310,0.248228078048
115,10312,0.229114247783
116,10314,0.213646637871
117,10451,0.0982658420754
118,10452,0.09701065583
119,10453,0.0714103865431
120,10454,0.0639214433687
121,10455,0.0945025782079
122,10456,0.154731733997
123,10457,0.222557035692
124,10458,0.427400232565
125,10459,0.0574994421371
126,10460,0.435194734153
127,10461,0.0264986545644
128,10462,0.62873984324
129,10463,1.33886290109
130,10464,1.05536409836
131,10465,0.283766645795
132,10466,0.0257233429808
133,10467,0.820013651958
134,10468,0.209798709338
135,10469,0.0164296946757
136,10470,0.323705778371
137,10471,0.516666101736
138,10472,0.0185046495132
139,10473,0.230072921439
140,10474,0.0259612118617
141,10475,1.00428480297
142,11001,0.0
143,11004,0.00622828975624
144,11005,0.0591271422726
145,11040,0.0
146,11096,3.00291789164
147,11101,0.0512116012182
148,11102,0.0137147654111
149,11103,0.00241380909155
150,11104,0.0330751992448
151,11105,0.0601085654101
152,11106,0.034207120757
153,11109,0.931008968453
154,11201,0.114572988772
155,11203,0.0596417151237
156,11204,0.0617281507098
157,11205,0.0123895645452
158,11206,0.0209337323673
159,11207,0.425526311182
160,11208,0.655770478795
161,11209,0.418853229424
162,11210,0.00873228223163
163,11211,0.0352217431678
164,11212,0.0345136140312
165,11213,0.0610863531066
166,11214,0.12534855618
167,11215,0.288883734552
168,11216,0.0286371113588
169,11217,0.0173466492409
170,11218,0.00956353365614
171,11219,0.00292842810942
172,11220,0.251057356152
173,11221,0.00748095919882
174,11222,0.0597923985213
175,11223,0.0167381272002
176,11224,0.464462668533
177,11225,0.0046963052047
178,11226,0.0432162541774
179,11228,0.254045467774
180,11229,0.0611605657584
181,11230,0.0278849374258
182,11231,0.0753958333343
183,11232,0.386178489958
184,11233,0.0225249762305
185,11234,0.853231831056
186,11235,1.27711455602
187,11236,0.203631588462
188,11237,0.013832597664
189,11238,0.115214659385
190,11239,0.52754927532
191,11249,0.128351425713
192,11251,0.0
193,11354,0.047822117425
194,11355,0.452813077167
195,11356,0.0699176580428
196,11357,0.0282634841945
197,11358,0.036427543656
198,11359,0.0
199,11360,0.15358851565
200,11361,0.100131812439
201,11362,0.496730526564
202,11363,0.249589630325
203,11364,0.366169506853
204,11365,0.212624399415
205,11366,0.0152269856666
206,11367,0.509259370995
207,11368,0.415446418641
208,11369,0.0486109122703
209,11370,0.0139321587983
210,11371,0.0
211,11372,0.00629222902335
212,11373,0.0202561441573
213,11374,0.0154248852895
214,11375,0.417708611691
215,11377,0.170596014241
216,11378,0.073414449871
217,11379,0.351804667655
218,11385,0.787014250886
219,11411,0.0056078923887
220,11412,0.00211392194609
221,11413,0.27934904788
222,11414,0.188047599073
223,11415,0.121667360602
224,11416,0.00785156082176
225,11417,0.305944832624
226,11418,9.46756473005e-05
227,11419,0.00756907426812
228,11420,0.131074783055
229,11421,0.306282540735
230,11422,0.145688976254
231,11423,0.110137497826
232,11426,0.0351657813906
233,11427,0.120481768485
234,11428,0.0
235,11429,0.00284620102637
236,11430,0.0829331054433
237,11432,0.0157034242403
238,11433,0.022959510417
239,11434,0.0994273450996
240,11435,0.00977675357246
241,11436,0.0173148986365
242,11451,0.344142932776
243,11691,0.43075160424
244,11692,0.547327425685
245,11693,10.6201642865
246,11694,0.686309321528
247,11697,0.62888895373
